uri,id,label,description,created_at
https://orkg.org/property/P104008,P104008,Description Size,Describes the description size of 5 randomly chosen ontology classes.,2023-03-09T06:35:12.923571Z
https://orkg.org/property/P104009,P104009,Description Quality,Describes the description quality of 5 randomly chosen ontology classes.,2023-03-09T06:35:12.963597Z
https://orkg.org/property/P104010,P104010,Number of Terms,Lists the number of classes and properties inside the Ontology,2023-03-09T06:35:13.035423Z
https://orkg.org/property/P104011,P104011,Used Ontologies,Ontologies used in the Entitiy,2023-03-09T06:35:13.070725Z
https://orkg.org/property/P104012,P104012,Creation Type,Describes if the Ontology was created automatically or manually.,2023-03-09T06:35:13.103891Z
https://orkg.org/property/P104013,P104013,Automatic Analysis,"Automatic Analysis of the entity using https://fair-checker.france-bioinformatique.fr/, https://oops.linkeddata.es/ and https://foops.linkeddata.es/about.html",2023-03-09T06:35:13.139158Z
https://orkg.org/property/P104014,P104014,Modularity,Modularity of the entity,2023-03-09T06:35:13.175395Z
https://orkg.org/property/P104015,P104015,Extensability,Describes the extensability of the ontology,2023-03-09T06:35:13.21153Z
https://orkg.org/property/P104016,P104016,AI paradigm,"The artificial Intelligence paradigm that is used in the Neural-symbolic research (e.g., connectionist AI, symbolic AI)",2023-03-10T14:05:53.855678Z
https://orkg.org/property/P104017,P104017,image resolution,The resolution of the image in the Image dataset,2023-03-10T15:10:52.556554Z
https://orkg.org/property/P104018,P104018,image resized resolution ,"New image resolution resized for some purpose (e.g., an experiment)",2023-03-10T15:13:55.688131Z
https://orkg.org/property/P105000,P105000,# trained images,The number of images provided for training the model in the dataset,2023-03-11T08:23:22.958507Z
https://orkg.org/property/P105001,P105001,# test images,The number of images provided in the dataset for testing the model,2023-03-11T08:24:07.441719Z
https://orkg.org/property/P105002,P105002,# rating,Number of ranking attributed to items in a dataset,2023-03-11T08:40:49.639826Z
https://orkg.org/property/P105003,P105003,# user,Number of users in the dataset,2023-03-11T08:41:13.035561Z
https://orkg.org/property/P105004,P105004,# rating type,Number of rating type in a dataset,2023-03-11T08:42:33.646954Z
https://orkg.org/property/P105005,P105005,# movie,Number of movie in a dataset,2023-03-11T08:42:57.59305Z
https://orkg.org/property/P105006,P105006,# genre,"Number of different style of an item (music, video, etc.) in a dataset",2023-03-11T08:44:21.105244Z
https://orkg.org/property/P105007,P105007,# rating on movie genre,Number of rating on movie genre,2023-03-11T08:44:53.377229Z
https://orkg.org/property/P105008,P105008,system name,The name of the system that is being described,2023-03-11T09:05:38.135668Z
https://orkg.org/property/P105009,P105009,connectionist model,The connectionist model(s) used by the item being described,2023-03-11T09:09:47.233267Z
https://orkg.org/property/P105010,P105010,symbolic model,The symbolic model(s) used by the item being described,2023-03-11T09:15:51.660813Z
https://orkg.org/property/P105011,P105011,symbolic model,The symbolic model(s) used by the item being described,2023-03-11T09:15:51.812893Z
https://orkg.org/property/P105012,P105012,system feature,Features are special characteristics or functions of the system,2023-03-11T09:38:47.655336Z
https://orkg.org/property/P105013,P105013,reasoning type,"The type of reasoning (e.g., inductive) that is used",2023-03-11T10:15:10.746124Z
https://orkg.org/property/P105014,P105014,reasoning goal,The objective to be reached by the reasoner given a task,2023-03-11T10:17:04.634948Z
https://orkg.org/property/P105015,P105015,ablation study,Removing some components of the system to understand the ones that really have impact,2023-03-11T10:18:57.843739Z
https://orkg.org/property/P105016,P105016,model name,"The name of the model (e.g., Neural Network)",2023-03-11T10:33:59.632206Z
https://orkg.org/property/wikidata:P366,wikidata:P366,has use,,2023-03-11T10:35:03.860091Z
https://orkg.org/property/P105017,P105017,optimizer,"The optimization algorithm used to train the model (e.g., Adam, SGD).",2023-03-11T10:36:00.978844Z
https://orkg.org/property/P105018,P105018,drop out probability,,2023-03-11T10:37:04.719788Z
https://orkg.org/property/P105019,P105019,# epoch,,2023-03-11T10:37:44.424776Z
https://orkg.org/property/P105020,P105020,type of inference,The different types of inference(s),2023-03-11T10:56:51.764801Z
https://orkg.org/property/P105021,P105021,type of inference supported,The different types of inference(s) supported by the system,2023-03-11T10:59:38.59045Z
https://orkg.org/property/P105022,P105022,inference engine,This is the inference engine used by the system,2023-03-11T11:23:31.303192Z
https://orkg.org/property/P105023,P105023,inference engine,This is the inference engine used by the system,2023-03-11T11:23:55.980191Z
https://orkg.org/property/P105024,P105024,inference engine,This is the inference engine used by the system,2023-03-11T11:23:58.689513Z
https://orkg.org/property/P105025,P105025,Review Article,,2023-03-14T12:06:01.58605Z
https://orkg.org/property/P105026,P105026,Introduction,,2023-03-14T12:12:52.764107Z
https://orkg.org/property/P105027,P105027,evaluation data,,2023-03-15T13:59:50.892638Z
https://orkg.org/property/P105028,P105028,evaluation data split,,2023-03-15T13:59:52.118693Z
https://orkg.org/property/P105029,P105029,infrastructure,,2023-03-15T13:59:53.313472Z
https://orkg.org/property/P105030,P105030,process steps,,2023-03-15T13:59:54.515888Z
https://orkg.org/property/P105031,P105031,provenance support,,2023-03-15T13:59:55.306797Z
https://orkg.org/property/P105032,P105032,component model,,2023-03-15T13:59:56.492767Z
